community,avg_inner_edge_weight
1039551,4
226972,2
197921,2
86823,2
185621,2
19624,2.733333333
115219,12
836258,3
396369,2.333333333
657961,2.333333333
189021,2
77923,2
52075,3.019607843
1400138,2
587559,2
23024,2.87804878
287882,3
121822,2
491309,2
328515,2
217417,3.6
357629,2
51420,1.8
54686,3
28838,3.333333333
593373,2
258113,3.166666667
150281,2.4
431431,4
87137,2
348729,4
153618,3
267982,2.363636364
45786,2.333333333
19938,2
581270,2.833333333
1090906,2
249213,2.25
389425,2
363577,2
252479,1.8
115533,2
488223,2
185280,1.75
16017,2.314285714
45131,3
130381,4.444444444
388707,6
280875,2
628569,1.666666667
491623,3.125
1027107,3
188680,2
10383,3
520019,1.666666667
545867,3
1029655,2
217076,2
191228,2
80130,4.358974359
220342,2.421052632
83396,2.375
51079,2
452820,2.333333333
80193,3.833333333
290089,3.333333333
120826,2
149940,4.333333333
12994,2.909090909
622217,5
182391,2.111111111
19597,2.625
45445,1.944444444
248872,1.666666667
226290,2.4
141040,2
115192,3.5
860572,2
73841,2.245614035
47993,3.586206897
18942,3.5
694575,2
557629,2
1093113,2
143588,2.913793103
114537,2.571428571
790170,2
376129,2
350281,2
47338,2.461538462
424083,1.9
312985,3.666666667
287137,2.333333333
176039,4
685675,2.222222222
13308,3.777777778
493830,2.666666667
1058365,3
245786,2
353681,2.25
216735,2.5
245849,2
79789,3.956521739
50738,2.2
83055,2
618539,2
315533,2
423428,2
286482,5
825169,2
12590,3
12653,4
245131,2.9
219283,1.666666667
82337,2
79134,2.6
82400,6
314878,3
11935,2.761904762
1297509,3
322199,2.368421053
19256,2
583791,2.333333333
277582,3
417794,2
280848,3.333333333
111585,4.5
790484,2
114851,3.2
3753,2.714285714
89003,1.916666667
487541,2
181332,2
44386,4
184598,6
47652,1.954545455
579870,2.111111111
309244,2
280193,3
114133,2.909090909
143247,3
114196,2
76048,2.464912281
183943,2.4
46997,4.130434783
445535,3
851331,3
79448,2.975903614
108562,2.142857143
315192,2
286141,2
12249,2.333333333
149195,9
178309,2
658831,3
384939,3
550999,2
218942,2
81996,5.789473684
107844,3.3
111110,3.4
617480,2
148540,2
180857,2.166666667
40708,3.4375
1628507,2
69893,2.266666667
582732,3
719678,2
47311,3
471697,2
139640,3.125
168754,2
279852,2.6
818539,2
117058,1.888888889
46593,3.692307692
46656,2.5
585343,2.25
279134,2.416666667
589398,2
108158,3
79107,2.136363636
850335,2
41022,10
1057028,2
107503,3
218601,2
81655,2
786402,2
480193,2
40304,2
66152,2.615384615
151402,2
177250,2
180516,3
412994,4
209701,2
72755,2.8
212967,1.666666667
72818,4.333333333
471356,2
142502,3
308562,2.8
2353,2
5619,2.8
1076524,2
541103,3.5
212312,2
75366,2.333333333
101214,2
145113,2.2
8167,2.666666667
237442,3.5
266556,2
103762,3
244763,5.857142857
107817,1.875
177564,2
174361,1.666666667
37415,3
11567,5
465004,2
273159,4.047619048
974640,2
162061,1.833333333
136213,3
107162,3.5
368754,2
342906,4.2
176909,2
604498,2
39963,2.75
43229,4.333333333
10912,2.090909091
438501,2.75
272504,2
884993,2
72414,2.438356164
142161,3.555555556
334069,2.2
2012,2.166666667
266870,2
444449,2.6
310769,2.535714286
4560,2.111111111
33674,2.929032258
7826,1.943396226
801636,3
100155,2.6
161720,2
782454,1.666666667
645508,2
342565,2
205619,2.875
176568,2.166666667
467211,2.428571429
327062,4
164268,3.052631579
135217,2
24119,2.034482759
259863,2.3
234015,1.888888889
68018,3.090909091
38967,2.592017738
329610,3
163613,3
304614,2.194444444
167668,2
170934,3.5
33988,3.041666667
266529,2.6
100469,2.5
240681,3
502273,2
196064,2
59181,2.916666667
33333,2.611111111
7485,2.333333333
539703,2
431871,2
265811,11
169561,2
58463,4.166666667
61729,2.416666667
128210,2.1
833746,3
563120,2
530803,2
227860,2.4
629664,3
39281,3
26981,3.75
109028,2.571428571
134876,3
259522,5
370620,2.818181818
396468,2.333333333
233674,3
122576,3
204623,3.4
96728,4
67677,2.285714286
1307845,1.666666667
329269,2
727807,2
26326,2.5
775761,6
103394,3
129242,2.8
472818,2
58777,3.166666667
845508,2
760258,2.333333333
84625,2
32929,2.255813953
62043,2
1132948,2
128524,3.285714286
99473,2.454545455
268736,2
501214,2.333333333
335217,2.4
224119,2.375
58122,2
32274,2
1298290,2
570961,2
61388,2.666666667
737021,2
293866,2
438133,2
135190,2
562779,2
396782,2
259836,2.333333333
230785,2.2
93839,1.956521739
