avg_PR,avg_PR_val,avg_PR_top_collabs,avg_disrupt,avg_disrupt_val,avg_disrupt_top_collabs,unique_coauthor_profs_lin_damp,unique_coauthor_profs_lin_damp_val,unique_coauthor_profs_lin_damp_top_collabs
Jean-Philippe Theurillat,0.089054472,"[""Timothy Fennell"",""Robert C. Onofrio""]",Zhuzhu Zhang,-0.005075869,"[""Terrence S. Furey"",""Webb Miller"",""W. James Kent""]",Angeliki Kerasidou,22.59695301,"[""Jane Peterson"",""Felsenfeld Al"",""Deanna M. Church"",""Stephen T. Sherry"",""Michael C. Wendl"",""David J. Dooling"",""Lucinda Fulton"",""David R. Bentley"",""W. James Kent"",""Mark S. Guyer""]"
Daniel Carlin,0.087749297,"[""Michael C. Wendl"",""David J. Dooling"",""Robert C. Onofrio"",""Mark S. Guyer""]",Sahil Seth,-0.00599417,"[""Michael C. Wendl"",""David J. Dooling"",""Timothy Fennell"",""Lucinda Fulton"",""Robert C. Onofrio"",""Mark S. Guyer""]",Jeffery M. Klco,22.55591622,"[""Michael C. Wendl"",""David J. Dooling"",""Lucinda Fulton""]"
Rileen Sinha,0.084272011,"[""Jane Peterson"",""Michael C. Wendl"",""David J. Dooling"",""Lucinda Fulton"",""Robert C. Onofrio"",""Mark S. Guyer""]",Daniel J. Weisenberger,-0.009354142,"[""Jane Peterson"",""Michael C. Wendl"",""David J. Dooling"",""Timothy Fennell"",""Lucinda Fulton"",""Robert C. Onofrio"",""Mark S. Guyer""]",Karsten Hokamp,22.44876771,"[""Steven E. Scherer"",""Tobias Doerks"",""Aravind Subramanian"",""Jane Peterson"",""Ian Korf"",""Todd M. Lowe"",""Felsenfeld Al"",""Deanna M. Church"",""Terrence S. Furey"",""Michael C. Wendl"",""Arian Smit"",""Alan Coulson"",""Michael C. Zody"",""Sean R. Eddy"",""LaDeana W. Hillier"",""Lucinda Fulton"",""Kevin McKernan"",""David R. Bentley"",""Mark T. Ross"",""W. James Kent"",""Mark S. Guyer""]"
Lijia Ma,0.082904373,"[""Terrence S. Furey"",""Webb Miller"",""W. James Kent"",""Mark S. Guyer""]",Daniel Carlin,-0.010779617,"[""Michael C. Wendl"",""David J. Dooling"",""Robert C. Onofrio"",""Mark S. Guyer""]",Qunyuan Zhang,19.4250352,"[""Steven E. Scherer"",""Jane Peterson"",""Felsenfeld Al"",""Deanna M. Church"",""Stephen T. Sherry"",""Michael C. Wendl"",""David J. Dooling"",""Michael C. Zody"",""Timothy Fennell"",""Lucinda Fulton"",""David R. Bentley"",""Robert C. Onofrio"",""W. James Kent"",""Mark S. Guyer""]"
Svitlana Tyekucheva,0.081828634,"[""Josep F. Abril"",""Terrence S. Furey"",""Arian Smit"",""LaDeana W. Hillier"",""Lucinda Fulton"",""Webb Miller"",""W. James Kent""]",B. Arman Aksoy,-0.012472989,"[""Jane Peterson"",""Michael C. Wendl"",""David J. Dooling"",""Timothy Fennell"",""Lucinda Fulton"",""Robert C. Onofrio"",""Mark S. Guyer""]",Gane Ka Shu Wong,18.79970045,"[""Josep F. Abril"",""Terrence S. Furey"",""Arian Smit"",""LaDeana W. Hillier"",""Lucinda Fulton"",""Webb Miller"",""W. James Kent""]"
Trevor J. Pugh,0.081554284,"[""Timothy Fennell"",""Robert C. Onofrio""]",Rileen Sinha,-0.01330501,"[""Jane Peterson"",""Michael C. Wendl"",""David J. Dooling"",""Lucinda Fulton"",""Robert C. Onofrio"",""Mark S. Guyer""]",Petar Stojanov,18.75765908,"[""Jane Peterson"",""Michael C. Wendl"",""David J. Dooling"",""Timothy Fennell"",""Lucinda Fulton"",""Robert C. Onofrio"",""Mark S. Guyer""]"
Mark Cadungog,0.080793077,"[""David J. Dooling"",""Lucinda Fulton"",""Robert C. Onofrio"",""Mark S. Guyer""]",Georgi K. Marinov,-0.013404371,"[""Terrence S. Furey"",""Webb Miller"",""W. James Kent""]",Svitlana Tyekucheva,18.711595,"[""Josep F. Abril"",""Terrence S. Furey"",""Arian Smit"",""LaDeana W. Hillier"",""Lucinda Fulton"",""Webb Miller"",""W. James Kent""]"
Efsevia Vakiani,0.079655357,"[""Jane Peterson"",""David J. Dooling"",""Lucinda Fulton"",""Robert C. Onofrio"",""Mark S. Guyer""]",,,,Timothy E. Reddy,18.35488539,"[""Terrence S. Furey"",""Webb Miller"",""W. James Kent""]"
Wiam Bshara,0.077956484,"[""Nicoletta Sacchi"",""David J. Dooling"",""Robert C. Onofrio"",""Mark S. Guyer""]",,,,Mark Cadungog,17.7496324,"[""David J. Dooling"",""Lucinda Fulton"",""Robert C. Onofrio"",""Mark S. Guyer""]"
Lukas D. Wartman,0.07653549,"[""Michael C. Wendl"",""David J. Dooling"",""Lucinda Fulton""]",,,,Wiam Bshara,16.70326723,"[""Nicoletta Sacchi"",""David J. Dooling"",""Robert C. Onofrio"",""Mark S. Guyer""]"
