avg_PR,avg_PR_val,max_PR,max_PR_val,median_PR,median_PR_val,min_PR,min_PR_val,avg_AR,avg_AR_val,max_AR,max_AR_val,median_AR,median_AR_val,min_AR,min_AR_val
A E Weyman,2.96835503,Erica Sodergren,179.527591,Patricia S. Goldman-Rakic,0.6588695,Olivier Hantz,0.15,William H. Habig,1.614508917,Dean Burk,86.9013995,Ari Helenius,0.4416435,Olivier Hantz,0.15
Jacqueline Kosecoff,2.963678982,Tarjei S. Mikkelsen,179.527591,Dene E. Ryan,0.65844025,Olivier Hanotte,0.15,Heather Schmidt,1.612115632,Peter A. Lachenbruch,86.396746,Janet B. Schoenberg,0.4413715,Olivier Hanotte,0.15
Robert S. Pinals,2.962905554,Leroy Hood,179.527591,Andrew R. Moss,0.658266,Olivier Hanon,0.15,Shirley Zhu,1.610557157,Thomas H. Jukes,86.3177895,Bruce M. Spiegelman,0.441142,Olivier Hanon,0.15
Lynn A. G. Ries,2.962680917,Richard R. Copley,179.527591,Mary R. Avarbock,0.65815125,Olivier Join-Lambert,0.15,Stephen M. J. Searle,1.61033196,J. Murphy,86.2668065,Joseph C. Eggleston,0.441006,Olivier Join-Lambert,0.15
Russell Turner,2.959835145,Michael J. Doyle,179.527591,R M Zinkernagel,0.65779425,Olivier Joubert,0.15,J. F. Forbes,1.610313136,Ching W. Tang,86.0660705,R. A. F. Dixon,0.44062775,Olivier Joubert,0.15
Lawrence E. Shulman,2.957648964,Roger A. Schultz,179.527591,Reddi Ah,0.657433,Olivier Jousson,0.15,Rodrigo Lopez,1.60777854,Clara D. Bloomfield,86.027166,Gilliland Dg,0.44024525,Olivier Jousson,0.15
Darrel A. Regier,2.956501117,Lisa French,179.527591,Peter L. Strick,0.65695275,Olivier Langeron,0.15,Donna M. Rennick,1.606555913,Michael A. Caligiuri,86.027166,Liliana Attisano,0.44009225,Olivier Langeron,0.15
S. Moncada,2.955938202,Edward C. Uberbacher,179.527591,Elaine Rands,0.6566935,Olivier Lefebvre,0.15,Lee Murphy,1.605420679,Donna K. Slonim,86.027166,Michael P. Stern,0.4398755,Olivier Lefebvre,0.15
Carol Churcher,2.95443968,Patrick Wincker,179.527591,John I. Hedges,0.656583,Olivier Le Gall,0.15,S. Korzeniowski,1.603636115,Mignon L. Loh,86.027166,G. Bragi Walters,0.4397565,Olivier Le Gall,0.15
K. S. Novoselov,2.953556681,John D. McPherson,179.527591,G. Ross Heath,0.65624725,Olivier Lavergne,0.15,Srinivasa M. Srinivasula,1.600541528,Todd R. Golub,86.027166,David L. Donoho,0.439714,Olivier Lavergne,0.15
Stanley J. Korsmeyer,2.951633208,Marco A. Marra,179.527591,E. H. Sage,0.6558605,Olivier Laurent,0.15,Donald Pearson,1.600107565,Hilary A. Coller,86.027166,Paul J. Flory,0.4397055,Olivier Laurent,0.15
William J. Fulkerson,2.948696565,Carrie Sougnez,179.527591,Edwin G. Krebs,0.655767,Olivier Lascols,0.15,David Torrents,1.59953557,Pablo Tamayo,86.027166,David A. Clayton,0.439646,Olivier Lascols,0.15
Gordon G. Wong,2.944589982,Jean Thierry-Mieg,179.527591,Clift Ra,0.655223,Olivier Laprévote,0.15,Norman A. Doggett,1.599341487,James R. Downing,86.027166,Sara Hieny,0.43936125,Olivier Laprévote,0.15
D. C. Van Essen,2.943208341,Roel P. Funke,179.527591,Walter Gordy,0.65513375,Olivier Lantz,0.15,M. Michele Manos,1.597512018,Susan T. Dumais,85.525326,Purnell W. Choppin,0.4393145,Olivier Lantz,0.15
Andrew H. Wyllie,2.941854384,Stefan Taudien,179.527591,R. C. Lord,0.6545345,Olivier Lantieri,0.15,Richard Tizard,1.595873611,George A. Bray,84.917542,Mary Betty Stevens,0.4392295,Olivier Lantieri,0.15
James H. Ware,2.940646797,Jennifer Baldwin,179.527591,Doyle J. Evans,0.653455,Olivier Lambotte,0.15,Catherine Michaud,1.593886226,John P. Feighner,83.9084985,David M. Berkson,0.4391955,Olivier Lambotte,0.15
Vincent Ferretti,2.936001621,Jun Yu,179.527591,C H Heldin,0.6526135,Olivier Julien,0.15,Richard G. Margolese,1.591293838,Robert A. Woodruff,83.9084985,Walter H. Ettinger,0.43846025,Olivier Julien,0.15
G. Binnig,2.935050889,Glen A. Evans,179.527591,E. Donnall Thomas,0.652299,Olivier Lambert,0.15,C. Arden Pope,1.591051082,Samuel B. Guze,83.9084985,Edward H. Soule,0.438167,Olivier Lambert,0.15
Ramzi S. Cotran,2.930861526,Hidemi Watanabe,179.527591,W. H. J. Summerskill,0.652248,Olivier Lairez,0.15,M. A. Fiatarone,1.59093275,George Winokur,83.9084985,Gary Thurnau,0.4381415,Olivier Lairez,0.15
