"name","num_pubs_pre","avg_PR_pre","max_PR_pre","median_PR_pre","num_pubs_post","avg_PR_post","max_PR_post","median_PR_post"
"Oreofe O. Odejide","3","0.2590238333333333","0.4735694999999999","0.153502","1","0.23018900000000003","0.23018900000000003","0.23018900000000003"
"Ronan Le Moigne","1","0.15000000000000002","0.15000000000000002","0.15000000000000002","1","0.15000000000000002","0.15000000000000002","0.15000000000000002"
"Zhijie Jey Cheng","3","0.15000000000000002","0.15000000000000002","0.15000000000000002","1","0.15000000000000002","0.15000000000000002","0.15000000000000002"
"Anna Szmigielska-Kaplon","3","0.15336600000000003","0.16009800000000005","0.15000000000000002","1","0.15000000000000002","0.15000000000000002","0.15000000000000002"
"Mohamed O. Abdalla","1","0.15000000000000002","0.15000000000000002","0.15000000000000002","1","0.15000000000000002","0.15000000000000002","0.15000000000000002"
"Cristiano Ferrario","1","0.15000000000000002","0.15000000000000002","0.15000000000000002","1","0.15000000000000002","0.15000000000000002","0.15000000000000002"
"Jiří Míšek","2","0.52492225","0.6455245000000001","0.52492225","1","0.15277100000000002","0.15277100000000002","0.15277100000000002"
"Jordi Burés","4","0.41255437500000003","0.6310830000000001","0.40473650000000005","3","0.17106583333333336","0.196308","0.16688950000000002"
"Carlos Romero‐Nieto","4","0.24012975000000003","0.29484","0.25159625","2","0.16234625000000003","0.170774","0.16234625000000003"
"Shaun K. Olsen","6","0.5342949166666667","0.7517830000000002","0.6016772499999999","2","0.15083725000000003","0.15167450000000002","0.15083725000000003"
"Weiguo Zou","5","0.360511","0.839486","0.284453","1","0.15000000000000002","0.15000000000000002","0.15000000000000002"
"Madeline A. Lancaster","5","0.9001147999999999","2.3370925","0.5211695000000001","1","0.263135","0.263135","0.263135"
"Woo Ping Ge","2","0.600874","0.6198970000000001","0.600874","1","0.2775","0.2775","0.2775"
"Christian Laggner","2","0.4517755","0.482401","0.4517755","1","0.15000000000000002","0.15000000000000002","0.15000000000000002"
"Alessandra Carobbio","7","0.7002645000000001","2.1367049999999996","0.4831575","1","0.15000000000000002","0.15000000000000002","0.15000000000000002"
"Kasper B. Hansen","3","0.2104831666666667","0.32685100000000006","0.1545985","1","0.18150950000000002","0.18150950000000002","0.18150950000000002"
"Szymon Swiezewski","2","0.8923645","1.1272875","0.8923645","1","0.15579700000000002","0.15579700000000002","0.15579700000000002"
"Carolina Schinke","4","0.17419950000000003","0.24679800000000002","0.15000000000000002","1","0.15000000000000002","0.15000000000000002","0.15000000000000002"
"Adam Naguib","3","0.15000000000000002","0.15000000000000002","0.15000000000000002","1","0.16435650000000002","0.16435650000000002","0.16435650000000002"
"Robin E. Stanley","1","0.44073399999999996","0.44073399999999996","0.44073399999999996","1","0.15770950000000003","0.15770950000000003","0.15770950000000003"
"Srivatsan Raman","3","0.567656","0.9698760000000002","0.4382945","1","0.22327850000000002","0.22327850000000002","0.22327850000000002"
"Saravana P. Selvanathan","2","0.16781600000000002","0.17572100000000002","0.16781600000000002","1","0.15000000000000002","0.15000000000000002","0.15000000000000002"
"Shari Beth Goldfarb","1","0.15000000000000002","0.15000000000000002","0.15000000000000002","1","0.15000000000000002","0.15000000000000002","0.15000000000000002"
"Nicholas A. Willis","1","0.23562049999999998","0.23562049999999998","0.23562049999999998","1","0.15000000000000002","0.15000000000000002","0.15000000000000002"
"Karen Newell-Litwa","1","0.17738700000000002","0.17738700000000002","0.17738700000000002","1","0.15182750000000003","0.15182750000000003","0.15182750000000003"
"Michael Keng","1","0.15000000000000002","0.15000000000000002","0.15000000000000002","1","0.15000000000000002","0.15000000000000002","0.15000000000000002"
"Antigoni Triantafyllopoulou","1","0.3753945","0.3753945","0.3753945","1","0.16062500000000002","0.16062500000000002","0.16062500000000002"
"Brittany Turner Ivey","1","0.15000000000000002","0.15000000000000002","0.15000000000000002","1","0.15000000000000002","0.15000000000000002","0.15000000000000002"
"Eric M. Erkenbrack","1","0.1977105","0.1977105","0.1977105","1","0.15271150000000003","0.15271150000000003","0.15271150000000003"
"Anna C. Obenauf","1","0.497769","0.497769","0.497769","1","0.3927430000000001","0.3927430000000001","0.3927430000000001"
"Janice M. Staber","2","0.15285600000000005","0.15571200000000004","0.15285600000000005","1","0.15000000000000002","0.15000000000000002","0.15000000000000002"
"Tais W. Dahl","2","0.36917675","0.5883535","0.36917675","1","0.15000000000000002","0.15000000000000002","0.15000000000000002"
"Rh Alvarez","3","0.15000000000000002","0.15000000000000002","0.15000000000000002","3","0.15000000000000002","0.15000000000000002","0.15000000000000002"
"Braulio Rodríguez-Molina","2","0.295877","0.327242","0.295877","1","0.15000000000000002","0.15000000000000002","0.15000000000000002"
"Eóin N. McNamee","2","0.392913","0.629451","0.392913","1","0.15000000000000002","0.15000000000000002","0.15000000000000002"
"R. Katherine Hyde","8","0.17548300000000006","0.26594850000000003","0.15070975000000003","2","0.15000000000000002","0.15000000000000002","0.15000000000000002"
"Shuiquan Deng","6","0.24911425","0.35070200000000007","0.22443449999999998","1","0.15000000000000002","0.15000000000000002","0.15000000000000002"
"Francesca Bruzzese","1","0.20296350000000002","0.20296350000000002","0.20296350000000002","1","0.15000000000000002","0.15000000000000002","0.15000000000000002"
"Karleen Habin","1","0.15749700000000003","0.15749700000000003","0.15749700000000003","1","0.15000000000000002","0.15000000000000002","0.15000000000000002"
"Yick W. Fong","1","0.4055185","0.4055185","0.4055185","1","0.15000000000000002","0.15000000000000002","0.15000000000000002"
"Magdalena Strzelecka","1","0.39117050000000003","0.39117050000000003","0.39117050000000003","2","0.16006825000000002","0.17013650000000002","0.16006825000000002"
"Gemma L. Kelly","6","0.3894450000000001","0.9147195000000002","0.347676","1","0.15000000000000002","0.15000000000000002","0.15000000000000002"
"Jiaxi Cui","1","0.21707350000000003","0.21707350000000003","0.21707350000000003","1","0.15549100000000002","0.15549100000000002","0.15549100000000002"
"Jesse M. Engreitz","2","0.7583322499999999","1.0335409999999998","0.7583322499999999","1","0.191718","0.191718","0.191718"
"Jonathan Snowden","1","0.906262","0.906262","0.906262","1","0.28005","0.28005","0.28005"
"Ashley M. Mackey","1","0.16783300000000004","0.16783300000000004","0.16783300000000004","1","0.15000000000000002","0.15000000000000002","0.15000000000000002"
"Bindu D. Paul","3","0.37507150000000006","0.6801025","0.229492","1","0.15000000000000002","0.15000000000000002","0.15000000000000002"
"Andrea Sottoriva","6","0.5735224166666666","1.533324","0.4156377499999999","1","0.3116360000000001","0.3116360000000001","0.3116360000000001"
"Diego M. Marzese","1","0.15000000000000002","0.15000000000000002","0.15000000000000002","1","0.15000000000000002","0.15000000000000002","0.15000000000000002"
"H Rugo","1","0.15532100000000001","0.15532100000000001","0.15532100000000001","2","0.15000000000000002","0.15000000000000002","0.15000000000000002"
"Alexander Rigort","1","0.8255885","0.8255885","0.8255885","1","0.15000000000000002","0.15000000000000002","0.15000000000000002"
"Matthew F. Barber","4","0.32947325000000005","0.712972","0.22700575000000003","1","0.15000000000000002","0.15000000000000002","0.15000000000000002"
"Nemanja Rodić","2","0.2426925","0.269578","0.2426925","1","0.15000000000000002","0.15000000000000002","0.15000000000000002"
"Lara Sucheston-Campbell","2","0.15000000000000002","0.15000000000000002","0.15000000000000002","1","0.15000000000000002","0.15000000000000002","0.15000000000000002"
"Xiaohong Helena Yang","2","0.25232725","0.3426865","0.25232725","1","0.15000000000000002","0.15000000000000002","0.15000000000000002"
"Da‐Gang Yu","8","0.46401975","0.9641045","0.39603674999999994","2","0.25056350000000005","0.351127","0.25056350000000005"
"Gerard H. M. Huysmans","1","0.17671550000000003","0.17671550000000003","0.17671550000000003","1","0.1506715","0.1506715","0.1506715"
"Roman Dobrovetsky","5","0.2511874","0.3565925","0.20420450000000004","1","0.15000000000000002","0.15000000000000002","0.15000000000000002"
"Fuad El Rassi","5","0.15000000000000002","0.15000000000000002","0.15000000000000002","1","0.15000000000000002","0.15000000000000002","0.15000000000000002"
"Stanislas Blein","1","0.262778","0.262778","0.262778","1","0.15000000000000002","0.15000000000000002","0.15000000000000002"
"Yaroslav A. Andreev","1","0.409794","0.409794","0.409794","1","0.15195500000000003","0.15195500000000003","0.15195500000000003"
