unique_coauthor_profs_lin_damp,,,,,,,unique_coauthor_profs_sqrt_damp,,,,,,,avg_PR,,,,,,,avg_disrupt,,,
Wilfred van IJcken,,,,,,,Paul N. Jensen,149.6091914,,,,,,Owen J. L. Rackham,,,,,,,Nobuhiko Kamada,,,
Xiaokui Mo,,,,,,,Grant Nguyen,148.273931,,,,,,John N. Newton,,,,,,,Alexandra Phelan,,,
Manuel A. Rivas,,,,,,,Peter H. Sudmant,147.0670426,,,,,,Tobias Stacke,,,,,,,Amanda Capes-Davis,,,
Martin Sikora,,,,,,,Tibor V. Varga,146.591911,,,,,,Adugnaw Berhane,,,,,,,Jennifer N. Rauch,,,
Johannes Waage,,,,,,,Sven J. van der Lee,146.3649913,,,,,,Umar Bacha,,,,,,,Dickens Akena,,,
Xiaobei Zhao,,,,,,,Fiona J. Charlson,146.3620774,,,,,,Abera Kenay Tura,,,,,,,Awoke Misganaw Temesgen,,,
Jennifer L. Bragg-Gresham,,,,,,,Adugnaw Berhane,144.7424649,,,,,,Tuomo J. Meretoja,,,,,,,Lauren A. Richardson,,,
Gopa Iyer,,,,,,,Tuomo J. Meretoja,144.7424649,,,,,,David M. Pigott,,,,,,,Kaushalendra Kumar,,,
Josh Stuart,,,,,,,Abera Kenay Tura,144.7424649,,,,,,Michael Alvarado,,,,,,,Emily Dansereau,,,
Xianbo Zuo,,,,,,,Umar Bacha,144.7424649,,,,,,Xiaobei Zhao,,,,,,,Lijia Ma,,,
Philipp A. Lang,,,,,,,Dorota Pasko,144.3342558,,,,,,Arnav Agarwal,,,,,,,Steffen J. Sahl,,,
Flore Sicre de Fontbrune,,,,,,,Suleman Atique,143.7847125,,,,,,Christina Fitzmaurice,,,,,,,Andrew S. Azman,,,
Sebastian BÃ¶ttcher,,,,,,,Mike A. Nalls,143.1159235,,,,,,Suleman Atique,,,,,,,Yann Hautier,,,
Anjan Thakurta,,,,,,,Ludmil B. Alexandrov,142.1522654,,,,,,Kelly Cercy,,,,,,,Zane Jaunmuktane,,,
Sven J. van der Lee,,,,,,,Demewoz Haile,141.9927092,,,,,,Tsegaye Tewelde Gebrehiwot,,,,,,,Katie Harron,,,
Wyne P. Lee,,,,,,,Donal Bisanzio,140.5105659,,,,,,Johanna N Riesel,,,,,,,Paul N. Jensen,,,
Andrew E. Jaffe,,,,,,,Muhammad Muhammad Saleh,140.4381643,,,,,,Christian Schmidl,,,,,,,Matthijs Moed,,,
Cristian Rodriguez-Aguayo,,,,,,,Eli A. Stahl,140.4143379,,,,,,Ritul Kamal,,,,,,,Armand Sprecher,,,
JosÃ© Ãngel GarcÃ­a-SÃ¡enz,,,,,,,John N. Newton,140.2582002,,,,,,Katherine B. Gibney,,,,,,,Carly E Levitz,,,
Stephanie Halene,,,,,,,Jimmy Z. Liu,140.0649941,,,,,,Wendy L. McArdle,,,,,,,Samia Alhabib,,,
Lisa Pieri,,,,,,,Trevor J. Pugh,139.8038747,,,,,,Kathryn M. Stack,,,,,,,Mohammed Basulaiman,,,
Alena StanÄÃ¡kovÃ¡,,,,,,,David C. Wedge,138.8494625,,,,,,Matan Hofree,,,,,,,Ting Wu Chuang,,,
Mike A. Nalls,,,,,,,Justin Beardsley,138.6334879,,,,,,Nina Tunariu,,,,,,,Chana A. Sacks,,,
Qiaomei Fu,,,,,,,Janni Leung,138.3140237,,,,,,Alemseged Aregay Gebru,,,,,,,Vittorio Sebastiano,,,
Sarah Nikiforow,,,,,,,Christina Fitzmaurice,138.2027738,,,,,,Samer Hamidi,,,,,,,Vineet K. Chadha,,,
Aung Soe Htet,,,,,,,Robert T. Bailer,137.7634105,,,,,,Bjoern Chapuy,,,,,,,Tara Templin,,,
Jean-Marc Aury,,,,,,,Chhabi Lal Ranabhat,137.7043539,,,,,,Sarah O'Meara,,,,,,,Alicia V. Aleman,,,
Annalisa Chiappella,,,,,,,Nicholas Kassebaum,137.3039699,,,,,,Donal Bisanzio,,,,,,,Amanda B. Keener,,,
Tony Marchand,,,,,,,Alemseged Aregay Gebru,136.9327255,,,,,,Nicholas Kassebaum,,,,,,,Janelle M. Spinazzola,,,
Aaron C Logan,,,,,,,Jared T. Simpson,135.7644983,,,,,,Zoubida Zaidi,,,,,,,Tariku Jibat Beyene,,,
Stephen S. Chung,,,,,,,Asma Abdul Latif,135.5509677,,,,,,Hadas Keren-Shaul,,,,,,,Sergey Soshnikov,,,
Aleksandra Gentry-Maharaj,,,,,,,Catherine O. Johnson,134.2871881,,,,,,Olvert A. Berkhemer,,,,,,,Karen M. Tabb,,,
Daniele Merico,,,,,,,Josh Stuart,134.0886116,,,,,,Chhabi Lal Ranabhat,,,,,,,Sudhakar V. Nuti,,,
Wencai Ma,,,,,,,Xiaobei Zhao,133.482938,,,,,,Alberto L. GarcÃ­a-Basteiro,,,,,,,Courtney D. DiNardo,,,
Manoj Bhasin,,,,,,,Peter Willeit,133.4638903,,,,,,Grant Nguyen,,,,,,,Robbert J Duvivier,,,
