last_author_yr,last_author_yr_val,unique_coauthor_profs,unique_coauthor_profs_exp_damp,unique_coauthor_profs_exp_damp_val,unique_coauthor_profs_lin_damp,unique_coauthor_profs_lin_damp_val,unique_coauthor_profs_sqrt_damp,unique_coauthor_profs_sqrt_damp_val,unique_coauthor_profs_square_damp,unique_coauthor_profs_square_damp_val,unique_coauthor_profs_val
Gilmar F. Salgado,2017,C. Cowden,Harvey F. Lodish,0.9230095891510604,Daniela Cilloni,84.96826262144003,P. Vischia,230.07305270840888,Aline Renneville,36.52750972486066,2441
Mathieu Latreille,2017,N. Bartosik,W. R. Scheidt,0.9195463729062104,Manish R. Patel,84.6948185131447,M. A. Buchmann,230.07305270840888,Anna Schuh,36.39038448279006,2441
Diana Panayotova-Dimitrova,2017,E. Graverini,Ilia A. Guzei,0.9184033661300572,Neil P. Shah,84.62576309169799,I. Ojalvo,230.07305270840888,Jacqueline C. Barrientos,36.35599038158447,2441
L Aggarwal,2017,M. Chefdeville,Bradley E. Britigan,0.9179198289427596,Anneli Pouta,84.60962195455778,A. Benaglia,230.07305270840888,Thoralf Lange,36.3516333852361,2441
Gilberto de Lima Lopes,2017,M. Naimuddin,Alan D. Schreiber,0.9139340745507218,Fausto Castagnetti,84.55070905123193,F. J. Munoz Sanchez,230.07305270840888,Andrea Pellagatti,36.294555876531774,2441
Annelynn Wallaert,2017,S. Bifani,Jacques U. Baenziger,0.9123688142783551,Emmanuel Gyan,84.45987538401651,D. Puigh,230.07305270840888,Marc E. Lenburg,36.273543712960965,2441
Michelle Sam,2017,A. K. Kalsi,Peter H. Schur,0.91205205265176,Marina Cavazzana,84.45803469657966,Alberto Potenza,230.07305270840888,Yiling Lu,36.2234759174753,2441
X. Megumi Funakoshi-Tago,2017,T. Brambach,Roland K. Robins,0.9117520006691868,Luca Castagna,84.42410283991018,M. Chasco,230.07305270840888,Nicolas Mounier,36.134871063498935,2441
Su Ryon Shin,2017,M. Dalchenko,Erling Grovenstein,0.911585836155404,Douglas A. Levine,84.34869732463946,E. Tiras,230.07305270840888,Sherry Niessen,36.12723762129901,2441
Amy Jo Chien,2017,A. Custódio,Robert E. Thach,0.911585836155404,Steffen Koschmieder,84.03506966827969,B. Millan Mejias,230.07305270840888,Elizabeta Nemeth,36.07252892847863,2441
Gabriel Victora,2017,M. Bodlak,Gordon G. Hammes,0.911585836155404,Yoshiko Atsuta,83.7266457203923,G. Della Ricca,230.07305270840888,Sikander Ailawadhi,36.05306934069677,2441
Yu Shrike Zhang,2017,J. Karancsi,George S. Forbes,0.911585836155404,Vasiliki Lagou,83.44743536066244,Sanjay Padhi,230.07305270840888,M. M. Le Beau,36.01291672465775,2441
Fikri Birey,2017,O. Driga,W B Pratt,0.911585836155404,Sagar Lonial,83.4451406846014,L. Perrozzi,230.07305270840888,Steven W. Lane,35.91054183684301,2441
